Date time,Temperature,Wind Speed,Visibility,Cloud Cover
1/10/2016 23:30,24,5.3,6.9,49.1
1/11/2016 0:00,24,7.5,7.9,49.6
1/11/2016 0:30,23.9,5.3,7.9,49.1
1/11/2016 1:00,23.2,4.5,12.4,70.6
1/11/2016 1:30,23,5.3,5.9,49.1
1/11/2016 2:00,23,5.3,4,49.6
1/11/2016 2:30,23,1.8,3,49.1
1/11/2016 3:00,23,3.5,3,49.6
1/11/2016 3:30,22.9,1.7,3,49.1
1/11/2016 4:00,22.1,1.7,3.1,70.6
1/11/2016 4:30,22,1.7,3,49.1
1/11/2016 5:00,22,1.8,3,49.6
1/11/2016 5:30,22,1.8,3,85.8
1/11/2016 6:00,22,1.8,3,88
1/11/2016 6:30,22,1.8,3,86.6
1/11/2016 7:00,22.3,1.7,11.9,88.4
1/11/2016 7:30,24,1.8,4,88
1/11/2016 8:00,24,1.8,4,88.4
1/11/2016 8:30,26,3.6,6,86.6
1/11/2016 9:00,27,3.6,9.9,88.4
1/11/2016 9:30,28,3.5,9.9,86.6
1/11/2016 10:00,28.1,3.6,15.2,71
1/11/2016 10:30,30,7.4,9.9,50
1/11/2016 11:00,31,7.5,10,50
1/11/2016 11:30,29,9.2,9.9,50
1/11/2016 12:00,29,5.4,10,50
1/11/2016 12:30,29,9.2,9.9,50
1/11/2016 13:00,27.5,9.4,15.2,71
1/11/2016 13:30,27,9.4,7,88
1/11/2016 14:00,26,11.1,7,89.1
1/11/2016 14:30,26,12.8,7,88
1/11/2016 15:00,26,9.4,7,89.1
1/11/2016 15:30,25.1,14.6,7,86.6
1/11/2016 16:00,24.6,9,8.6,93.7
1/11/2016 16:30,25,14.8,6,86.6
1/11/2016 17:00,25,11.2,6,88.4
1/11/2016 17:30,25,7.6,6,86.6
1/11/2016 18:00,24,11.1,6,88.4
1/11/2016 18:30,24,9.2,6,88
1/11/2016 19:00,23.6,5.5,14.3,71.7
1/11/2016 19:30,24,7.7,7.9,88
1/11/2016 20:00,24,11.3,7.9,89.1
1/11/2016 20:30,24,11.2,6,88
1/11/2016 21:00,24,5.5,6,88.4
1/11/2016 21:30,24,5.5,6,86.6
1/11/2016 22:00,23.5,7.6,14.3,88.4
1/11/2016 22:30,24,5.3,7.9,86.6
1/11/2016 23:00,23,5.4,7.9,88.4
1/11/2016 23:30,24,5.3,7.9,86.6
1/12/2016 0:00,24,5.3,7.9,88.4
1/12/2016 0:30,24,5.3,7.9,88
1/12/2016 1:00,22.9,7.3,14.3,94.3
1/12/2016 1:30,24,9.1,6.9,88
1/12/2016 2:00,24,5.3,7,89.1
1/12/2016 2:30,24,5.4,6.9,88
1/12/2016 3:00,24,5.4,7,89.1
1/12/2016 3:30,24,3.5,6.9,88
1/12/2016 4:00,22.9,5.4,8.5,94.3
1/12/2016 4:30,23,3.7,6,88
1/12/2016 5:00,23,1.9,6,89.1
1/12/2016 5:30,23,3.8,3.1,88
1/12/2016 6:00,23,5.5,3,88.4
1/12/2016 6:30,23,9.4,1.1,86.6
1/12/2016 7:00,22.8,4.4,11,93.7
1/12/2016 7:30,24,5.4,4,88
1/12/2016 8:00,26,7.6,5,88
1/12/2016 8:30,23.1,11,2.1,88
1/12/2016 9:00,23.1,11,4,89.1
1/12/2016 9:30,24,9.2,4.1,88
1/12/2016 10:00,24,7.2,13.4,94.3
1/12/2016 10:30,24.1,9.4,4.1,88
1/12/2016 11:00,24.1,11.1,3.1,88.4
1/12/2016 11:30,24.1,11.2,5,86.6
1/12/2016 12:00,24.1,9.4,4.1,88.4
1/12/2016 12:30,24.1,9.4,7,86.6
1/12/2016 13:00,24.4,9.1,9.1,93.7
1/12/2016 13:30,24.1,9.8,9,86.6
1/12/2016 14:00,24,11.5,8,88.4
1/12/2016 14:30,24,13.5,8,86.6
1/12/2016 15:00,24,13.2,9,88.4
1/12/2016 15:30,24,13.1,9.9,85.8
1/12/2016 16:00,23.7,10.2,10,93.2
1/12/2016 16:30,24,11.6,9.9,85.8
1/12/2016 17:00,24,9.6,10,88.4
1/12/2016 17:30,24,9.9,9.9,86.6
1/12/2016 18:00,24,9.6,9.9,88.4
1/12/2016 18:30,24,5.9,9.9,86.6
1/12/2016 19:00,22.9,7.2,15.2,93.7
1/12/2016 19:30,23,7.6,9.9,88
1/12/2016 20:00,23,9.3,9.9,89.1
1/12/2016 20:30,23,9.3,9.9,88
1/12/2016 21:00,22,9.3,9.9,89.1
1/12/2016 21:30,22,7.6,3.1,88
