,date,time,value,date time
568,2018-01-24,17,888.5,2018-01-24 17
569,2018-01-24,18,822.9,2018-01-24 18
570,2018-01-24,19,864.7,2018-01-24 19
571,2018-01-24,20,800,2018-01-24 20
572,2018-01-24,21,926,2018-01-24 21
573,2018-01-24,22,926,2018-01-24 22
574,2018-01-24,23,890.4,2018-01-24 23
575,2018-01-24,24,748,2018-01-24 24
576,2018-01-25,1,748,2018-01-25 1
577,2018-01-25,2,746.9,2018-01-25 2
578,2018-01-25,3,746.9,2018-01-25 3
579,2018-01-25,4,746.9,2018-01-25 4
580,2018-01-25,5,805,2018-01-25 5
581,2018-01-25,6,848.6,2018-01-25 6
582,2018-01-25,7,849.7,2018-01-25 7
583,2018-01-25,8,800,2018-01-25 8
584,2018-01-25,9,933.8,2018-01-25 9
585,2018-01-25,10,864.7,2018-01-25 10
586,2018-01-25,11,864.7,2018-01-25 11
587,2018-01-25,12,915,2018-01-25 12
588,2018-01-25,13,864.7,2018-01-25 13
589,2018-01-25,14,864.7,2018-01-25 14
590,2018-01-25,15,864.7,2018-01-25 15
591,2018-01-25,16,933.8,2018-01-25 16
592,2018-01-25,17,933.8,2018-01-25 17
593,2018-01-25,18,850,2018-01-25 18
594,2018-01-25,19,849.7,2018-01-25 19
595,2018-01-25,20,748,2018-01-25 20
